,Industrials,Consumer Discretionary,Finance,Technology,Real Estate,Health Care,Miscellaneous,Telecommunications,Utilities,Consumer Staples,Energy,Basic Materials
451,11212.597424268723,4680022459.362936,18430.82303273678,9056.579429745674,5831.073415517807,33849.79071086645,297.4499988555908,648.9372805356979,2689.184278011322,2961.7748143672943,3723.7246012687683,509.6946841478348
452,11258.36019730568,4698022369.724954,18515.28232192993,9110.532106280327,5876.147183775902,34311.4069634676,299.1100025177002,656.1604229211807,2709.6893281936646,2981.1971299648285,3756.5457565784454,517.930505990982
453,11311.740815162659,4788021998.258429,18609.479743242264,9135.889533400536,5889.090032577515,34230.8892788291,298.8200054168701,658.1498520374298,2715.22464799881,2983.8776528835297,3819.672126531601,523.4708483219147
454,11237.095981240273,5400022215.351591,18534.45245194435,9110.839400410652,5891.3882801532745,35897.32172304392,297.8300018310547,651.8287515640259,2714.34597158432,2956.584452867508,3801.587087750435,517.4749528169632
455,11230.25706076622,5058022208.682862,18523.39117062092,9126.474376797676,5889.1542314291,35153.86095529795,298.6399984359741,651.009327173233,2703.1536655426025,2965.4819090366364,3794.8482537269592,505.83476960659027
456,11283.745530486107,4842022306.889544,18627.48328125477,9230.132361769676,5914.325608611107,34484.294965684414,299.44000244140625,660.5722858905792,2716.668882369995,2980.7306129932404,3781.978031516075,503.35202896595
457,11189.659304618835,4950022147.6245575,18593.31798541546,9169.143840432167,5902.261077284813,33325.50872582197,299.32000064849854,656.3260078430176,2705.229528903961,2973.3145759105682,3744.707519888878,502.0488144159317
458,11158.194902062416,4806022023.694528,18535.09162712097,9136.432007789612,5834.643221259117,28033.972236394882,297.47000074386597,653.3006193637848,2709.925500869751,2949.2488555908203,3675.368331670761,497.95514392852783
459,11105.974578022957,4752021624.365319,18477.047744512558,9110.650819540024,5701.327315449715,27590.590310573578,294.4200019836426,642.6612682342529,2691.6475558280945,2928.5749127864838,3625.180721282959,495.47824120521545
460,11112.435193777084,4680021707.799541,18447.30461704731,9113.1917283535,5716.366324543953,27433.005066394806,295.27000188827515,640.9766383171082,2694.095998764038,2943.3655819892883,3582.830404162407,497.69948959350586
461,11129.642345428467,4518021662.716436,18445.535858988762,9133.160917639732,5784.467134594917,27330.469837367535,292.68999433517456,644.531703710556,2725.4152822494507,2945.279350757599,3517.0058282613754,502.6732933521271
462,11029.51700168848,4536021498.63296,18336.315751791,9059.341967701912,5656.685467123985,26604.132168650627,289.09000301361084,636.6490046977997,2671.2555198669434,2943.621258497238,3507.9018812179565,498.9039044380188
